82771
18564 insect
15990 suck|pest
nematode groundnut|1
nematode management cotton|1
nematode paddy|2
nematode paddy nursery|2
nematodes cotton|5
nematods cotton|7
nemetode|1
nemetode cotton|4
nemotod cotton|1
nemtode cotton|1
network problem|1
next insurance since failed|1
nimatodes cotton|1
nirma powder mixed jivamrut|1
non bt cotton bt cotton seeds|1
non bt cotton seeds bt cotton seeds package|1
npv virus|1
nurient management cotton|1
nurtient management cotton|1
nutient management cotto|1
nutrient|2
nutrient anagement cotton|1
nutrient cotton|2
nutrient deficency cotton|1
nutrient foliar spray|5
nutrient foliar spray cotton|9
nutrient magement cotton|1
nutrient managament chilli|1
nutrient manage cotton|1
nutrient management|235
nutrient management blackgram|1
nutrient management chillies|1
nutrient management cotton|302
nutrient management jevargi|1
nutrient management n p k|1
nutrient management paddy|3
nutrient managemnt cotton|4
nutrient managment|1
nutrient requirement cotton|1
nutrient spray|1
nutrients cotton|2
nutrients flowering cotton|1
nutrients increase size boll cotton block kelapur yevatmal|1
nutrients management cotton|1
okra shape leaves cotton|1
olant protection cotton|1
ongoing government scheme|4
open boll cotton|1
open cotton boll|1
open cotton dode|1
open cotton dode spray|1
open cotton tinda|1
open dindu kapas|1
open flower tinda cotton|1
open tinda cotton|1
opening boll|2
opening bolworm|1
optimum height cotton|1
organic centre|1
organic cotton|1
organic cotton parches|1
organic farming|1
organic farming cultivation|1
organic fungiside cotton|1
organic related|1
organic spray cotton|1
orthophosphoric acid|1
p est cotton|1
pacha doma cotton|1
paddy blast management|2
paddy bph management|1
paddy false smut management|2
paddy gallmidge|1
paddy nutrient management|1
pairavilt cotton|4
parasetoides|1
paravilt cotton|2
payment pmksny|5
pbw cotton|1
pbw cotton management|1
pbw management|7
pbw management cotton|3
pera wielt|1
pera wil cotton|1
pera wlit cotton|1
peravilt cotton|1
perawelit cotton|1
pest|3
pest attack|1
pest coton|1
pest cotton|167
pest cotton field|1
pest fungs infection cotton|1
pest hisar|1
pest management|9
pest management cotton|151
pest management cotton pigeon pea|1
pest management cottton|1
pest management maize|2
pest management management cotton|1
pest problem cotton|4
pest problem storage cotton|1
pest reporting cotton|2
pest storage pest|1
pest white beetle problem cotton|1
pestiside mix tonic|1
pests cotton|14
pests cotton august september|1
pests problem cotton|1
pgr|14
pgr chillies|1
pgr cotton|273
pgr cotton falling flower|1
pgr groundnut|1
pgr pgp|24
pgr pgp cotton|38
pgr related cotton|3
pgr spraying|1
pgr use cotton|1
phaspomidan grams lit water|1
pheramone traps|1
pheromane trap|1
pheromen trap|1
pheromene trap|1
pheromon trap|1
pheromone trap|1
pheromone trap american armyworm|1
pheromone trap availability|1
pheromone trap related|1
pheromone trap subsidy|1
pheromone traps cotton|1
pheromone traps height field|1
physiological disorder cotton|1
pig problem groundnut|2
pindi nalli cotton|1
pink|1
pink ball worn cotton|1
pink bol warm magement|1
pink bol warm management|2
pink bole worm cotton|1
pink boll cotton|2
pink boll cotton management|1
pink boll management|1
pink boll management cotton|3
pink boll wom managemnt cotton|1
pink bolwarm cotton|1
pink bolworm attack cotton|1
pink bool warm cotton|1
pink borw|1
pink bowl warm cotton|1
pink leaves cotton|1
pink managemnt cotton|1
pink wall worm cotton|1
pink woll worm cotton|1
pink woll worm management chili|1
pink worm|1
planofix bayer cotton|1
plant dries cotton|1
plant groth cotton|1
plant height cotton|1
plant nutrient cotton|2
plant pest cotton|2
plant pest cotton soyabean|1
plant procation cotton|2
plant protaction cotton|9
plant protectio cotton|1
plant stress retardant|1
plant treatment cotton|1
plantprotaction cotton|1
plnofix insectiisde|1
pm kisan|1
pm kisan help desk|1
pm kisan saman nidhi yojna|1
pm kisan samman nidhi scheme|1
pm kissan samman nidhi yozna claim|1
pmfby cotton|1
pmfby govt scheme|1
pmsym scheme|1
pod boar moong|1
pod opening chemical technical|1
pod opening cotton|1
poison cotton|1
polo agromin max mixed|1
poor flowering cotton|1
post emergence weeds cotton|1
post emergent grassy weeds|1
post harvest storage cotton|1
powder mildew cotton management|1
powdery mildew attack bhindi|1
powdery mildew attack cotton|2
powdery mildew cotton|23
powdery mildew cotton leaves|1
powdery mildew management|3
powdery mildew management cotton|10
powdery mildewon cotton|1
pradhan mantri fasal bima yojana|5
pradhan mantri jan dhan yojana|1
pradhan mantri kisan samman nidhi|1
pradhan mantri kisan samman nidhi yojana|1
pradhan mantri kisan samman nidhi yojna|1
pradhanmantri insurance scheme|1
pradhanmantri kisan man dhan yojna|2
pradhanmantri kisan samman nidhi yojna late payment|2
pre emergnce insectide cotton|1
pre pest cotton|1
pre precautions pests|1
precaution pest management cotton|1
precautionary|1
precautionary cotton|2
precautionary spray cotton|30
precautionary spray cotton spray|1
precautionary spray soybean|1
precautionery spraying|1
precautions spraying|1
preemergence herbicide|2
preparation homemade neem extract|59
preparation jeevamrut|1
preparation jivamrut|2
preparation jivamrut cotton|1
preparation nimboli ark|11
preparation slurry jeevamrut|1
preparation time trichoderma|1
prepare niboli ark|1
preponderate neem extract|1
prevent flowers immature fruits falling|2
prevent white grub stem weevil cotton|1
prevent whitegrub cotton|1
prevention side effect herbicide cotton|1
preventive cotton|53
preventive cotton block jiwati yevatmal|1
preventive cotton pest|1
preventive cotton various pest|1
price cotton different mandi|1
price cotton mansa district|1
price detail cotton rajkot mandi|1
price detail soyabean yeotmal mandi|1
problem|1
problem cotton|4
problem cotton field|1
problems flower loss cotton|1
procedure making waste decomposer cotton|1
profenofos ec hexanova|1
profenofos mixed|1
promote fruiting cotton|1
propargite company chemical|1
propineb wp|1
protect cotton animals|1
protect cotton pig|1
protect wild animals|1
protection cotton|1
protection nematode cotton|1
protein hydrolysate powder cotton|1
protein hydrolysate powder increases flower cotton|1
provide pest management cotton|1
quantity imidacloprid cotton|1
quantity profex super cotton|1
query escalate|1
query missed today|3
quick feeding cotton tinda|1
quickly open tinda cotton|1
rabbit cotton|1
rabbits cotton|1
rainfed cotton sowing season variety|1
rajansh contract number alwer dist|1
rat cotton|3
rat cotton field|1
rat cotton storage|1
rat infestation cotton field|1
rat management cotton|2
rat management cotton field|1
rat management paddy field|1
rat problem field|1
rat rabbit cutting cotton leaf|1
rat wheat|1
rate cotton|5
ratoon cotton|3
ratooning cotton|3
rats cotton|1
ratton cultivation cotton|1
reaction cotton|1
reaction cotton wrongly spraying herbicide application|1
reaction spraying|1
readning cotton|1
reagrding cotton|1
rearding kali kidi sugarcane|1
reclamation chemical residual effect cotton|1
reclamation effect cotton|1
reclamation sodic alkaline soil|1
recommended spray|27
recommended spray agromin max grams litre water|3
recommended spray potassium nitrate grams litre water|1
recommended sprayacephate grams litres water acre|1
recommended varieties bt cotton|5
red ants grey mildew management cotton|1
red beetle cotton|1
red black leaves cotton|1
red colour veins cotton leaves|1
red cotton beetle attack cotton|1
red leag management cotton|1
red leaves cotton|21
red leaves problem cotton|5
red levaes problem cotton|1
red management cotton|1
red pumpkin beetle cotton|1
red spider cotton|3
red spider cotton plant|1
red stem|1
reddening cotton|267
reddening cotton disconnected|1
reddening cotton jalna|1
reddening cotton leaves|1
reddening cotton spray kg magnesium sulphate liter water per acre|1
reddening cottton|1
reddening leaves cotton|86
reddeninig cotton|1
redding cotton|3
redening cotton|1
redening leaves cotton|1
redishing flowers cotton|1
redness cotton plants|1
redness leaves cotton indicate cure|1
redning cotton|4
redning leaves cotton|1
rednining cotton|1
rednning cotton leaves|8
reduce attack monkey cotton field|1
reduce effect herbicide cotton|2
reduce effect urea cotton|1
reduce excess moisture cotton|3
reduce excess moisture cotton field|7
reduce excess moisture field|1
reduce moisture cotton field|1
reduce side effect chemical cotton|1
reduce side effect herbicide cotton|1
reduces square shedding management cotton|1
refugee cotton|1
refujaa cotton|1
regading cotton|1
regading white mosquito cotton|2
regainformation seed treatment cotton rding seed treatment cotton|1
regatding cotton|1
registration number|1
regrading good yeld cotton|1
regrading new released variety wheat|1
regrading registration|1
regrding stagnated water cotton|1
regular use neem oil cotton|2
related chilli nutrients|1
related query iike cotton|1
reliance general insurance co ltd|1
remot disconnect|1
remote disc|7
remote disconnect|8
remote disconnected|35
remove fibrous root cotton plant unblock drip system|1
remove herbicide effect plant|1
remove side effects|1
required beauveria bassiana products|1
residual effect herbicide|1
residue effect glyphosate cotton|1
responding unhold|1
response|1
result movento|1
rice hispa|1
rice hispa paddy|1
right spray chemical|1
ring cutter cotton|1
rodent cotton|1
rodents rat attack cotton|1
root beetles|1
root cotton|3
root cutting pest cotton|1
root development cotton|1
root grub cotton|1
root grub management cotton|3
root grub management red gram|1
root grub stem weevil cotton|2
root grubs management cotton|8
root knot nematode cotton|1
root kot cotton|1
root nematode management cotton|1
root problem|1
root problem cotton|2
root stem boror paddy|1
root weevil cotton|2
root wevil cotton|1
root worm black vine weevil management cotton|1
rotting cotton|1
rust attack|8
rust attack cotton|9
rust attack cotton buldana|1
rust attack cotton yevatmal|1
rust attack tur|1
rust cotton|11
rust management|1
rust management cotton|17
rust paddy|1
rust problem cotton|1
sapre cotton|1
sarbat sehat bima yojana scheme punjab government|1
scare birds|1
scheme goat farming|1
scientific name desi cotton|1
scorching|1
scuking pest management|1
scuking pest mangemmt cootton|1
scuking pest mangemnt cotton|1
seed|1
seed distance cotton|1
seed production cotton|1
seed rate cotton|2
seed treatment|2
seed treatment bajra|1
seed treatment bengal gram|1
seed treatment cotton|43
seed treatment cotton n redgram|1
seed treatment cotton seed|1
seed treatment guar|1
seed treatment gwar|1
seed treatment nursery sowing paddy|1
seed treatment wheat|1
seed treatments white grub|2
seed tretment cotton|1
sefina uses|1
semilooper cotton|1
shedding flower bolls cotton|1
shedding flower cotton|1
shoot weevil cotton|2
shoot weevil management cotton|1
shoote borar cotton|1
sicking pest cotton|2
side effect cotton|1
side effect herbicide cotton|3
side effect spray cotton|36
side effect weedicidies|1
side effect weediide|1
side effects herbicide cotton|1
side effects spray cotton|1
sms activation|1
sms received|1
snail attack cotton|2
snails cotton nanded|1
snails field cotton|1
soil health card government scheme|1
soil testing|4
soil testing process|1
soil water logging cotton|1
soil water testing|6
sol water testing|1
solemon insectcide|1
solution already proposed|5
solution tobacco leaves cotton|1
soondi cotton|4
soondi guar|1
soondi paddy|1
sowing distance hybrid cotton|1
sowing season bhendi|1
sowing time ajwain|1
sowing time american kesar|1
sowing time barseem|1
sowing time bengal gram|1
sowing time coriander|1
sowing time cotton|10
sowing time cotton area|1
sowing time cumin|1
sowing time harvesting time cotton|1
sowing time mustard|1
sowing time sesame|1
sown seasons|1
spider cotton|7
spinosad chemical mix chemical|1
splendid|1
spodoptera cotton|2
spodoptera helicoverpa management|1
spodoptera mamanemet cotton|1
spodoptera management|1
spodoptera management cotton|8
spray acephate profenophos flowering stage|1
spray acetamiprid sp gm per liter water|4
spray beveuria bassiana|1
spray calsibor gm liters water|1
spray carbendazim mancozeb wp gm per liter water|2
spray chemical mix hour ago|1
spray cotton|12
spray cow urin|1
spray details|1
spray dimethoate ec ml per liter water|1
spray drop altra catton|1
spray drop ultra|4
spray drop ultra cotton|1
spray flowering|27
spray flowering cotton|81
spray fruit cracking|1
spray fruit drop|1
spray fruit drop cotton|1
spray increasing cotton flowers|1
spray increasing cotton squares flowers|1
spray indoxacarb sc ml per liter water cotton|1
spray interval cotton|1
spray mencozeb gm per liter water|1
spray micronutrientin cotton|1
spray ml rogor dimethoate ec metasystoks oxydemeton methyl ec liter nimisidin|1
spray monocrotophos sl ml per liter water cotton|1
spray month cotton|1
spray oberon ml gram actara ml nimisidin liter water per acre|1
spray oxydiarzil|1
spray pandimethalin standing|1
spray required days cotton|1
spray soluble npk grade gm ltr water|2
spray soyabin|1
spray taken make flowers cotton|5
spray timing|1
spray tonic cotton|1
spraying|28
spraying cotton|6
spraying flowering stage cotton|9
spraying flowering stage ginger|1
spraying increasing flowering|6
spraying increasing flowering cotton|52
spraying leocene cotton|1
spraying neem ark|1
spraying pod filling stage cotton|2
spraying reaction cotton|1
spraying sulphur cotton|1
sprouting boll cotton|1
square boll shedding management cotton|1
square flower shedding management cotton|2
square shed cotton|2
square shedding management cotton|7
squirrel cotton|1
squirrels cotton|2
squirrels management|1
srem rust cotton|1
stem application ratio|1
stem cutter cotton|2
stem root cutter cotton|1
stem weevil cotton|3
stem weevil management|1
stem weevil management cotton|1
sticker cotton|1
sticker mixed bouveria basia cotton|1
sticker sprader penitrater cotton|2
sticker sprader penitrater sapray cotton|1
sticker sprader penitrater spray cotton|1
sticking problem cotton storage|1
stop water evaporation plant|1
stopping growing american cotton|1
stored cotton|1
storing mixed chemical water|1
streptocyclin g|1
streptocyclin propiconazol ec mixed spray cotton|1
stress retardant cotton|1
student|1
subcidice fancing|1
subsidies|4
subsidy agricultural machinery kharif season|1
subsidy cutter|1
subsidy diggi|1
subsidy farm pond|1
subsidy ikhedut registration|1
subsidy lone|1
subsidy rotavator|1
subsidy seed drill|1
subsidy solour pump|1
subsidy zypsum|1
suching pest management|1
sucing pest management cotton|1
sucking|3
sucking attack cotton|1
sucking chewing type soybean cotton|1
sucking cotton|25
sucking management|2
sucking management cotton|4
sucking managemnt cotton|1
sucking paste cotton|1
sucking paste problem cotton|1
sucking peat attack cotton|1
sucking peat problem cotton|1
sucking pet cotton|2
sucking problem cotton|2
sucking pst cotton|1
sucling pests cotton|1
suclking pests cotton|1
suitable cotton varieties rainfed|2
sukcking pest mangemnt cotton|1
suking pest cooton|1
suking pest cotton|26
suking pest cotton management|1
suking pest management|11
suking pest management cotton|2
suking pest managemnent|1
suking pest mangemnet cotton|1
suking pest mangemnt cotton|2
suking pest pest management|1
suking pest soyabean|1
sulphur application cotton|3
sulphur spraying|1
summer|1
summer bajra|1
summer groundnut varierty|1
sundi bajra|1
sundi cotton|33
sundi rice|1
sundi tomato|1
suthastra related|1
suycking pest mangemnt cotton|1
symptom clearly given|1
symptoms leaf sheath cotton|1
system disconnect remote|1
system disconnected|2
system disconnected operation failed|1
system problem|2
talk formation|1
tata neonia imidacloprid l hexaconazole sc use cotton|1
tebuconazole ans sulphure mixed|1
tebuconazole trifloxystrobin cotton|1
tel pest cotton|1
temperature maintain cotton|1
temprature effect cotton|1
termaite|1
termaite cotton|7
termeit cotton|1
termide cotton|1
termiet cotton|3
termit cotton|4
thiodicard amino acid boron mixed yes|1
thirifs cotton|3
thirip cotton|1
thirips cotton|1
thirps cotton|2
thris cotton|1
tiddi|1
tiddi cotton|3
tillering ki problem|1
tilt fungiside|1
tilt mix fungiside|1
tinda open cotton|1
tinde blooms cotton|1
tinde blossom|1
tinde blossom cotton|2
tip cutting cotton|1
tobacco cater cotton|1
tobacco cater fill cotton|1
tobacco cater filler|1
tobacco cater filler cotton|1
tobacco cater filler management|1
tobacco caterpi ar management cotton|1
tobacco cotton|1
tobacco cut worm attack cotton|1
tobacco cut worm cotton|3
tobacco cut worm management cotton|1
tobacco cut worm sucking pet management cotton|1
tobacco cutworm cotton|4
tobacco cutworm infestation cotton|1
tobacco cutworm management|2
tobacco leaf eating carter piillar|1
tobacco streak virus|1
tobacco streak virus cotton|3
tobacco streak virus management|1
told government mobile application|9
toll free number gsfc|1
toll free number hd room nagaur district|1
toll free number insurance company|1
toll free number pashu palan vibhag|1
tonic|1
tonic flower cotton|1
tonic flowering cotton|1
tonic nutrient cotton|1
tonic spray cotton|1
topping cotton|1
total time cotton|1
tp|1
tracer|1
trade name imidacloprid|1
trade name roket common name profenofos cypermethrin uses|1
transplanting time paddy|1
treating paddy earrings|2
treatment done leaves becoming red cotton|1
trichoderma|1
trichoderma mixed kg kg dung manure put field|1
trichoderma uses|7
trichoderma viride use|1
tricograma cards avilablity|1
trips attack cotton|1
trips cotton|3
trips management|1
trips management cottom|1
trips management cotton|4
trips managemnt cotton|1
trmit cotton|1
tuber rate potato|1
tulasita rog cotton|1
turmeric rhizome fly management|1
type pest|12
type pest cotton|22
type pest wadhvan|1
ucking pest management cotton|1
ullala pump requirement|1
unfortunate rain chemical poser management|1
universal sompo general insurance company|1
update id|1
upward curling chillies|1
upward curling leaves cotton|1
use acetamiprid sp cotton|1
use afidopyropen chemical|1
use alpha naphthyl acetic acid|1
use beauveria bassiana|1
use beauveria bassiana cotton|1
use bio cotton|1
use bueveria besiana cotton|1
use buveriya basiyana cotton|1
use carbendazim cotton|1
use carbendazim gm bheega root zone irrigation|1
use cypermethrin cotton|1
use dashparni ark|1
use expiry date nutrient cotton|1
use hexaconazole ec cotton|1
use mancozeb|1
use metarhizium anisopoli|1
use monocrotophos|1
use monocrotophos sl|1
use npk bio consortia|1
use pheromene trap cotton|1
use pheromone trap cotton|1
use pheromone trap used cotton field|1
use profenofos cypermethrin cotton|1
use profenophos ec cotton|1
use waste decomposer|1
uses acephate cotton|1
uses deltamethrin triazophos cotton|1
uses fipronil uses|1
uses magnesium sulphate|1
uses nagata ec formulation ethion cypermethrin|1
utka rog cotton|1
varaga gunabaavam karaisal thayarikkum murai|1
vareity guar|2
varieties bajri|2
varieties basmati paddy|3
varieties bitter gourd|1
varieties bt cotton|9
varieties castor|1
varieties cotton|4
varieties maize|1
varieties mustard|2
varieties onion|1
varieties rabi maize|1
varieties sorghum|1
variety bajra|1
variety bt cotton|5
variety bt cotton cotton|1
variety castor|1
variety cotton|71
variety desi cotton|1
variety mustard|1
variety till|1
vice dissconected|1
virus cotton|4
voice audible|1
voice automatically disconnected|1
voice connected|1
voice diosconnect|1
voice disconnect|19
voice disconnected|18
voice disconnected automatically|2
voice disconnet|1
voice dissconnected|1
voice problem|2
voice problem remote disconnected|1
warm cotton|1
wash cotton plant normal water|1
waste decomposer|1
waste decomposer preparation|1
water lagging problem cotton|1
water logg condition cotton|1
water logged condition groundnut|1
water logging condition cotton|9
water logging condtion cotton|1
water logging cotton|21
water logging problem cotton|14
water management|1
water management cotton|4
water stagnation cotton|1
water stress cotton|2
waterlogging condition cotton|4
waterlogging condition irrigation management cotton|1
weddicide cotton|1
weeds bajra|3
weeds cotton|32
weeds guar|1
weeed cotton|1
whet fly|1
whit fly|1
whit fly cotton|13
whit fly management|2
whit fly management cotton|2
white attack cotton|1
white colour border leaf|1
white cotton|4
white fles management|1
white flu cotton|1
white garb cotton|4
white grub|6
white grub attack brinjal|1
white grub chili|1
white grub cotton|22
white grub management cotton|2
white grub management cotton bio|1
white grub pea nut|1
white grub sugarcane|1
white gurb onion|1
white leaf cotton|1
white management|1
white spider cotton|2
whitegrub groundnut|1
wild animal management agriculture land|1
wild animals|3
wild animals viz wild bores dear chital sambar blackbuck nilgai langoors elephants|1
wild pig management paddy|1
wiliting cotton|1
wrong spraying glycel cotton|1
yelllowing leaves|1
yello leaf cotton|1
yelloing cotton|1
yellwoing leaves cotton|1
yelowing leaves cotton|1
zinc deficency cotton|1
